id,name,type1,type2,base_stat_total
999,gimmighoul,ghost,,300
1000,gholdengo,steel,ghost,550
1001,wo-chien,dark,grass,570
1002,chien-pao,dark,ice,570
1003,ting-lu,dark,ground,570
1004,chi-yu,dark,fire,570
1005,roaring-moon,dragon,dark,590
1006,iron-valiant,fairy,fighting,590
1007,koraidon,fighting,dragon,670
1008,miraidon,electric,dragon,670
1009,walking-wake,water,dragon,590
1010,iron-leaves,grass,psychic,590
1011,dipplin,grass,dragon,485
1012,poltchageist,grass,ghost,308
1013,sinistcha,grass,ghost,508
1014,okidogi,poison,fighting,555
1015,munkidori,poison,psychic,555
1016,fezandipiti,poison,fairy,555
1017,ogerpon,grass,,550
1018,archaludon,steel,dragon,600
1019,hydrapple,grass,dragon,540
1020,gouging-fire,fire,dragon,590
1021,raging-bolt,electric,dragon,590
1022,iron-boulder,rock,psychic,590
1023,iron-crown,steel,psychic,590
1024,terapagos,normal,,450
1025,pecharunt,poison,ghost,600
