word,level,pattern,letters,syllables,compound_parts,also_matches,used_in_items,previous_level,review
pipes,5,Silent-e,5,1,,silent-e,1,,
pitched,4,Digraphs,7,2,,digraph,1,,
pitcher,4,Digraphs,7,2,,"digraph, r-controlled",1,,
pizza,9,Multisyllabic,5,2,,,1,,
plain,6,Vowel teams,5,1,,"vowel-team, blend",9,,
planet,3,Consonant blends,6,2,,blend,1,,
planks,3,Consonant blends,6,1,,blend,1,,
plant,3,Consonant blends,5,1,,blend,12,,
planter,7,R-controlled,7,2,,"r-controlled, blend",1,7,
plaster,7,R-controlled,7,2,,"r-controlled, blend",1,,
plate,5,Silent-e,5,1,,"silent-e, blend",4,5,
platform,7,R-controlled,8,2,,"r-controlled, blend",2,,
plating,3,Consonant blends,7,2,,blend,1,,
platter,7,R-controlled,7,2,,"r-controlled, blend",1,,
player,7,R-controlled,6,1,,"r-controlled, vowel-team, blend",1,,
plaza,3,Consonant blends,5,2,,blend,1,,
pointy,6,Vowel teams,6,2,,vowel-team,2,,
poison,6,Vowel teams,6,2,,vowel-team,1,,
pole,9,Multisyllabic,4,2,,silent-e,2,,
policy,9,Multisyllabic,6,3,,,1,,
polygonal,9,Multisyllabic,9,4,,,1,,
pop,1,Short-vowel CVC,3,1,,,6,,
popper,8,Compound words,6,2,pop + per,r-controlled,1,,
poster,7,R-controlled,6,2,,r-controlled,19,,
posts,9,Multisyllabic,5,1,,,1,,
pot,1,Short-vowel CVC,3,1,,,5,,
potato,9,Multisyllabic,6,3,,,3,9,
potatoes,9,Multisyllabic,8,3,,vowel-team,1,,
potted,9,Multisyllabic,6,2,,,2,,
powder,7,R-controlled,6,2,,"r-controlled, vowel-team",2,,
power,7,R-controlled,5,2,,"r-controlled, vowel-team",3,,
print,3,Consonant blends,5,1,,blend,13,,
printer,7,R-controlled,7,2,,"r-controlled, blend",1,7,
protruding,9,Multisyllabic,10,3,,blend,1,,
province,3,Consonant blends,8,2,,blend,1,,
public,9,Multisyllabic,6,2,,,1,,
pulley,6,Vowel teams,6,2,,vowel-team,1,9,differs
punching,8,Compound words,8,2,punch + ing,digraph,2,,
push,4,Digraphs,4,1,,digraph,1,,
quarter,7,R-controlled,7,2,,"r-controlled, blend",2,,
quick,6,Vowel teams,5,1,,"vowel-team, blend",1,,
rack,1,Short-vowel CVC,4,1,,,4,,
rags,1,Short-vowel CVC,4,1,,,1,,
raichu,4,Digraphs,6,2,,"digraph, vowel-team",1,,
railing,8,Compound words,7,2,rail + ing,vowel-team,1,,
railway,8,Compound words,7,2,rail + way,vowel-team,1,,
rainbow,8,Compound words,7,2,rain + bow,vowel-team,1,,
rainbowish,4,Digraphs,10,3,,"digraph, vowel-team",1,,
rare,5,Silent-e,4,1,,silent-e,2,,
rawst,6,Vowel teams,5,1,,vowel-team,1,,
reader,7,R-controlled,6,2,,"r-controlled, vowel-team",1,,
recycled,9,Multisyllabic,8,3,,,1,,
recycling,9,Multisyllabic,9,3,,,1,,
red,1,Short-vowel CVC,3,1,,,9,,
reddish,8,Compound words,7,2,red + dish,digraph,1,,
refrigerator,9,Multisyllabic,12,5,,r-controlled,1,9,
register,9,Multisyllabic,8,3,,r-controlled,1,,
relaxing,8,Compound words,8,3,relax + ing,,1,,
relic,9,Multisyllabic,5,2,,,2,,
repel,9,Multisyllabic,5,2,,,1,9,
resort,7,R-controlled,6,2,,r-controlled,7,,
ribbon,9,Multisyllabic,6,2,,,1,,
rice,5,Silent-e,4,1,,silent-e,1,,
ring,1,Short-vowel CVC,4,1,,,1,,
road,6,Vowel teams,4,1,,vowel-team,2,,
robust,9,Multisyllabic,6,2,,,1,,
rock,1,Short-vowel CVC,4,1,,,30,,
rocket,9,Multisyllabic,6,2,,,2,,
rod,1,Short-vowel CVC,3,1,,,1,,
roof,6,Vowel teams,4,1,,vowel-team,21,,
room,6,Vowel teams,4,1,,vowel-team,1,,
root,6,Vowel teams,4,1,,vowel-team,1,,
rope,5,Silent-e,4,1,,silent-e,3,5,
rose,5,Silent-e,4,1,,silent-e,1,,
roserade,9,Multisyllabic,8,3,,"silent-e, r-controlled",1,,
rough,6,Vowel teams,5,1,,vowel-team,1,,
round,6,Vowel teams,5,1,,vowel-team,2,,
rowlet,6,Vowel teams,6,2,,vowel-team,1,,
rug,1,Short-vowel CVC,3,1,,,10,,
ruin,6,Vowel teams,4,1,,vowel-team,1,,
rusted,9,Multisyllabic,6,2,,,1,,
rustic,9,Multisyllabic,6,2,,,1,,
sail,6,Vowel teams,4,1,,vowel-team,1,,
salad,9,Multisyllabic,5,2,,,6,,
sand,1,Short-vowel CVC,4,1,,,9,,
sandbags,8,Compound words,8,2,sand + bags,,1,8,
sandbox,8,Compound words,7,2,sand + box,,1,8,
sandstone,8,Compound words,9,2,sand + stone,silent-e,3,8,
sandwiches,4,Digraphs,10,3,,digraph,1,4,
sash,4,Digraphs,4,1,,digraph,1,,
sauce,5,Silent-e,5,1,,"silent-e, vowel-team",1,,
scaffold,3,Consonant blends,8,2,,blend,1,,
scale,3,Consonant blends,5,2,,"silent-e, blend",1,,
scarf,7,R-controlled,5,1,,"r-controlled, blend",1,,
science,6,Vowel teams,7,1,,"vowel-team, blend",1,,
scrap,3,Consonant blends,5,1,,blend,1,,
scroll,3,Consonant blends,6,1,,"blend, floss",1,,
sea,6,Vowel teams,3,1,,vowel-team,1,,
seashell,8,Compound words,8,2,sea + shell,"digraph, vowel-team, floss",2,8,
seashore,8,Compound words,8,2,sea + shore,"digraph, silent-e, vowel-team",3,,
seat,6,Vowel teams,4,1,,vowel-team,3,,
seaweed,8,Compound words,7,2,sea + weed,vowel-team,3,8,
security,9,Multisyllabic,8,4,,r-controlled,1,,
seed,6,Vowel teams,4,1,,vowel-team,1,,
seedot,6,Vowel teams,6,2,,vowel-team,1,,
sensor,7,R-controlled,6,2,,r-controlled,1,,
service,8,Compound words,7,2,ser + vice,"silent-e, r-controlled",1,,
set,1,Short-vowel CVC,3,1,,,3,,
setting,9,Multisyllabic,7,2,,,2,,
sewer,7,R-controlled,5,2,,"r-controlled, vowel-team",1,,
sharp,4,Digraphs,5,1,,"digraph, r-controlled",1,,
shaved,4,Digraphs,6,2,,digraph,1,,
shelf,4,Digraphs,5,1,,digraph,2,,
shell,4,Digraphs,5,1,,"digraph, floss",1,,
shield,4,Digraphs,6,1,,"digraph, vowel-team",1,,
shoots,4,Digraphs,6,1,,"digraph, vowel-team",8,,
shop,4,Digraphs,4,1,,digraph,1,,
shredded,4,Digraphs,8,2,,"digraph, blend",1,,
shutter,4,Digraphs,7,2,,"digraph, r-controlled",1,4,
shuttle,4,Digraphs,7,2,,digraph,1,,
side,5,Silent-e,4,1,,silent-e,1,,
sideways,8,Compound words,8,3,side + ways,vowel-team,1,,
sign,1,Short-vowel CVC,4,1,,,3,,
signpost,8,Compound words,8,2,sign + post,,1,8,
silk,1,Short-vowel CVC,4,1,,,1,,
silver,7,R-controlled,6,2,,r-controlled,3,,
simple,9,Multisyllabic,6,2,,,9,,
sink,1,Short-vowel CVC,4,1,,,2,1,
skull,3,Consonant blends,5,1,,"blend, floss",1,,
skyland,8,Compound words,7,2,sky + land,blend,5,,
skylight,8,Compound words,8,2,sky + light,"vowel-team, blend",1,8,
slab,3,Consonant blends,4,1,,blend,1,,
slate,5,Silent-e,5,1,,"silent-e, blend",1,,
slender,7,R-controlled,7,2,,"r-controlled, blend",1,,
slide,5,Silent-e,5,1,,"silent-e, blend",1,5,
sloped,3,Consonant blends,6,2,,blend,3,,
slowpoke,6,Vowel teams,8,2,,"silent-e, vowel-team, blend",1,,
sludge,3,Consonant blends,6,1,,blend,1,,
small,3,Consonant blends,5,1,,"blend, floss",9,,
smelting,3,Consonant blends,8,2,,blend,2,,
smooth,4,Digraphs,6,1,,"digraph, vowel-team, blend",1,,
snowbelle,8,Compound words,9,3,snow + belle,"vowel-team, blend",1,,
soda,9,Multisyllabic,4,2,,,2,,
sofa,9,Multisyllabic,4,2,,,9,,
soft,1,Short-vowel CVC,4,1,,,4,,
soil,6,Vowel teams,4,1,,vowel-team,6,,
sootopolis,9,Multisyllabic,10,4,,vowel-team,1,,
soul,6,Vowel teams,4,1,,vowel-team,1,,
soup,6,Vowel teams,4,1,,vowel-team,6,,
south,4,Digraphs,5,1,,"digraph, vowel-team",1,,
space,5,Silent-e,5,1,,"silent-e, blend",1,,
spaceship,8,Compound words,9,3,spaces + hip,"digraph, blend",1,8,
spacesuit,8,Compound words,9,3,space + suit,"vowel-team, blend",1,8,
speaker,7,R-controlled,7,2,,"r-controlled, vowel-team, blend",1,7,
spectacular,9,Multisyllabic,11,4,,"r-controlled, blend",1,,
spectator,9,Multisyllabic,9,3,,"r-controlled, blend",1,,
spell,3,Consonant blends,5,1,,"blend, floss",1,,
spoon,6,Vowel teams,5,1,,"vowel-team, blend",1,,
spores,3,Consonant blends,6,1,,blend,1,,
spotlight,8,Compound words,9,2,spot + light,"vowel-team, blend",1,8,
spotted,8,Compound words,7,2,spot + ted,blend,4,,
spout,6,Vowel teams,5,1,,"vowel-team, blend",1,,
spray,6,Vowel teams,5,1,,"vowel-team, blend",1,,
spring,3,Consonant blends,6,1,,blend,1,,
sprinkler,7,R-controlled,9,2,,"r-controlled, blend",1,9,differs
square,5,Silent-e,6,1,,"silent-e, blend",5,,
squishy,4,Digraphs,7,2,,"digraph, vowel-team, blend",1,,
stage,5,Silent-e,5,1,,"silent-e, blend",2,,
stalactites,9,Multisyllabic,11,3,,blend,1,9,
stalagmites,9,Multisyllabic,11,3,,blend,1,9,
stand,3,Consonant blends,5,1,,blend,3,,
standing,8,Compound words,8,2,stand + ing,blend,1,,
star,7,R-controlled,4,1,,"r-controlled, blend",2,,
stardust,8,Compound words,8,2,star + dust,"r-controlled, blend",1,8,
station,8,Compound words,7,2,stat + ion,blend,1,,
statue,6,Vowel teams,6,2,,"vowel-team, blend",4,,
steak,6,Vowel teams,5,1,,"vowel-team, blend",6,,
stepping,8,Compound words,8,2,step + ping,blend,1,,
steps,3,Consonant blends,5,1,,blend,7,,
stick,3,Consonant blends,5,1,,blend,1,,
sticky,3,Consonant blends,6,2,,blend,2,,
stone,5,Silent-e,5,1,,"silent-e, blend",27,5,
stones,5,Silent-e,6,1,,"silent-e, blend",1,,
stool,6,Vowel teams,5,1,,"vowel-team, blend",4,,
storage,7,R-controlled,7,2,,"silent-e, r-controlled, blend",3,,
stove,5,Silent-e,5,1,,"silent-e, blend",1,,
strange,3,Consonant blends,7,1,,blend,1,,
straw,6,Vowel teams,5,1,,"vowel-team, blend",3,,
streetlight,8,Compound words,11,2,street + light,"vowel-team, blend",5,,
strength,4,Digraphs,8,1,,"digraph, blend",1,,
string,3,Consonant blends,6,1,,blend,1,,
strings,3,Consonant blends,7,1,,blend,1,,
striped,3,Consonant blends,7,2,,blend,3,,
study,3,Consonant blends,5,2,,blend,1,,
stump,3,Consonant blends,5,1,,blend,3,,
sturdy,7,R-controlled,6,2,,"r-controlled, blend",1,,
stylish,4,Digraphs,7,2,,"digraph, blend",11,,
substitute,9,Multisyllabic,10,3,,silent-e,1,,
sudowoodo,9,Multisyllabic,9,4,,vowel-team,1,,
sunny,9,Multisyllabic,5,2,,,1,,
super,7,R-controlled,5,2,,r-controlled,1,,
supplies,6,Vowel teams,8,2,,vowel-team,3,,
support,7,R-controlled,7,2,,r-controlled,1,,
surface,8,Compound words,7,2,surf + ace,"silent-e, r-controlled",1,,
swirl,7,R-controlled,5,1,,"r-controlled, blend",1,,
switch,4,Digraphs,6,1,,"digraph, blend",3,,
system,9,Multisyllabic,6,2,,,1,,
table,9,Multisyllabic,5,2,,,22,,
tablet,9,Multisyllabic,6,2,,,2,9,
tabletop,8,Compound words,8,3,table + top,,1,,
tag,1,Short-vowel CVC,3,1,,,1,,
tail,6,Vowel teams,4,1,,vowel-team,1,,
tall,2,Floss doubles,4,1,,floss,6,,
target,7,R-controlled,6,2,,r-controlled,1,,
tartan,7,R-controlled,6,2,,r-controlled,1,,
tatami,9,Multisyllabic,6,3,,,1,,
tea,6,Vowel teams,3,1,,vowel-team,3,,
team,6,Vowel teams,4,1,,vowel-team,1,,
technology,4,Digraphs,10,4,,digraph,1,,
teeth,4,Digraphs,5,1,,"digraph, vowel-team",1,,
television,9,Multisyllabic,10,4,,,1,9,
tent,1,Short-vowel CVC,4,1,,,4,,
terrain,7,R-controlled,7,2,,"r-controlled, vowel-team",1,,
the,4,Digraphs,3,1,,digraph,1,,
throat,4,Digraphs,6,1,,"digraph, vowel-team, blend",1,,
thunderish,4,Digraphs,10,3,,"digraph, r-controlled",1,,
tiled,9,Multisyllabic,5,2,,,5,,
tiling,9,Multisyllabic,6,2,,,10,,
tinkagear,9,Multisyllabic,9,3,,"r-controlled, vowel-team",1,,
tire,5,Silent-e,4,1,,silent-e,1,,
tires,5,Silent-e,5,1,,silent-e,1,,
toilet,6,Vowel teams,6,2,,vowel-team,1,6,
tomato,9,Multisyllabic,6,3,,,3,9,
tools,6,Vowel teams,5,1,,vowel-team,1,,
torch,4,Digraphs,5,1,,"digraph, r-controlled",2,4,
towel,6,Vowel teams,5,2,,vowel-team,1,,
tower,7,R-controlled,5,2,,"r-controlled, vowel-team",2,,
town,6,Vowel teams,4,1,,vowel-team,3,,
townscape,8,Compound words,9,2,towns + cape,"silent-e, vowel-team",1,,
toy,6,Vowel teams,3,1,,vowel-team,2,,
track,3,Consonant blends,5,1,,blend,1,,
traffic,3,Consonant blends,7,2,,blend,1,,
training,8,Compound words,8,2,train + ing,"vowel-team, blend",1,,
transmitter,9,Multisyllabic,11,3,,"r-controlled, blend",2,,
treasure,6,Vowel teams,8,2,,"silent-e, vowel-team, blend",1,9,differs
tree,6,Vowel teams,4,1,,"vowel-team, blend",6,,
triangle,8,Compound words,8,2,tri + angle,blend,1,,
trio,3,Consonant blends,4,1,,blend,1,,
trophy,4,Digraphs,6,2,,"digraph, blend",1,,
twine,5,Silent-e,5,1,,"silent-e, blend",1,5,
twisted,3,Consonant blends,7,2,,blend,2,,
ultra,9,Multisyllabic,5,2,,,1,,
underground,8,Compound words,11,3,under + ground,"r-controlled, vowel-team",1,,
union,9,Multisyllabic,5,2,,,1,,
unit,9,Multisyllabic,4,2,,,1,,
upright,6,Vowel teams,7,2,,vowel-team,1,,
utility,9,Multisyllabic,7,4,,,1,,
valley,6,Vowel teams,6,2,,vowel-team,4,,
vane,5,Silent-e,4,1,,silent-e,1,,
vase,5,Silent-e,4,1,,silent-e,1,,
vending,9,Multisyllabic,7,2,,,1,,
ventilation,9,Multisyllabic,11,4,,,1,,
verdant,7,R-controlled,7,2,,r-controlled,2,,
vermilion,9,Multisyllabic,9,3,,r-controlled,1,,
vibrant,9,Multisyllabic,7,2,,,1,,
village,9,Multisyllabic,7,2,,silent-e,1,,
vine,5,Silent-e,4,1,,silent-e,3,,
vines,5,Silent-e,5,1,,silent-e,2,5,
violet,9,Multisyllabic,6,2,,,1,,
viridian,9,Multisyllabic,8,3,,r-controlled,1,,
volcanic,9,Multisyllabic,8,3,,,2,,
volcanoey,9,Multisyllabic,9,3,,vowel-team,1,,
walkway,8,Compound words,7,2,walk + way,vowel-team,1,8,
wall,2,Floss doubles,4,1,,floss,35,,
warning,7,R-controlled,7,2,,r-controlled,1,,
washing,8,Compound words,7,2,wash + ing,digraph,1,,
wastepaper,8,Compound words,10,4,waste + paper,r-controlled,1,9,differs
water,7,R-controlled,5,2,,r-controlled,5,,
watercolor,8,Compound words,10,4,water + color,r-controlled,1,,
waterproof,8,Compound words,10,3,water + proof,"r-controlled, vowel-team",1,,
waterwheel,8,Compound words,10,3,water + wheel,"digraph, r-controlled, vowel-team",1,,
weakness,6,Vowel teams,8,2,,"vowel-team, floss",1,,
weather,4,Digraphs,7,2,,"digraph, r-controlled, vowel-team",2,,
web,1,Short-vowel CVC,3,1,,,1,,
wheat,4,Digraphs,5,1,,"digraph, vowel-team",2,4,
wheelbarrow,4,Digraphs,11,3,,"digraph, r-controlled, vowel-team",1,9,differs
white,4,Digraphs,5,1,,"digraph, silent-e",3,,
wide,5,Silent-e,4,1,,silent-e,1,,
wiggly,9,Multisyllabic,6,2,,,1,,
wild,1,Short-vowel CVC,4,1,,,1,,
wildflower,8,Compound words,10,3,wild + flower,"r-controlled, vowel-team",1,8,
windmill,8,Compound words,8,2,wind + mill,floss,2,,
window,6,Vowel teams,6,2,,vowel-team,5,,
winter,7,R-controlled,6,2,,r-controlled,1,,
wire,5,Silent-e,4,1,,silent-e,1,5,
wireless,8,Compound words,8,3,wire + less,"r-controlled, floss",2,,
wobbler,7,R-controlled,7,2,,r-controlled,1,,
wobbuffet,9,Multisyllabic,9,3,,,1,,
wooden,6,Vowel teams,6,2,,vowel-team,23,,
workbench,8,Compound words,9,2,work + bench,"digraph, r-controlled",1,8,
worn,7,R-controlled,4,1,,r-controlled,2,,
woven,9,Multisyllabic,5,2,,,1,,
wyndon,9,Multisyllabic,6,2,,,1,,
yellow,6,Vowel teams,6,2,,vowel-team,9,,
zero,7,R-controlled,4,2,,r-controlled,1,,
zoom,6,Vowel teams,4,1,,vowel-team,1,,
