name,image,category
Stone fencing,stonefencing,Buildings
Stone fireplace,stonefireplace,Misc.
Stone flooring,stoneflooring,Blocks
Stone fragments,stonefragments,Other
Stone hipped roof,stonehippedroof,Buildings
Stone house kit,stonehousekit,Kits
Stone hut kit,stonehutkit,Kits
Stone roof decoration,stoneroofdecoration,Buildings
Stone roof valley,stoneroofvalley,Buildings
Stone steps,stonesteps,Buildings
Stone table,stonetable,Furniture
Stone tiling,stonetiling,Blocks
Storage box,storagebox,Furniture
Straw bed,strawbed,Furniture
Straw stool,strawstool,Furniture
Straw table,strawtable,Furniture
Strength rock,strengthrock,Nature
String lights,stringlights,Utilities
Striped soil,stripedsoil,Blocks
Striped wall,stripedwall,Blocks
Study desk,studydesk,Furniture
Stylish bronze wall,stylishbronzewall,Blocks
Stylish café kit,stylishcafkit,Kits
Stylish cooking pot,stylishcookingpot,Utilities
Stylish door,stylishdoor,Buildings
Stylish frying pan,stylishfryingpan,Utilities
Stylish gold wall,stylishgoldwall,Blocks
Stylish hedge,stylishhedge,Nature
Stylish iron wall,stylishironwall,Blocks
Stylish steps,stylishsteps,Buildings
Stylish stone flooring,stylishstoneflooring,Blocks
Stylish stool,stylishstool,Furniture
Stylish tiling,stylishtiling,Blocks
Substitute doll,substitutedoll,Misc.
Sunny poster,sunnyposter,Other
Super Training,supertraining,Other
Surface light,surfacelight,Utilities
Swirl print,swirlprint,Blocks
Table setting,tablesetting,Misc.
Tablet,tablet,Misc.
Tabletop mic,tabletopmic,Misc.
Tall grass,tallgrass,Nature
Tall potted plant,tallpottedplant,Misc.
Tartan print,tartanprint,Blocks
Tatami mat,tatamimat,Blocks
Tea set,teaset,Misc.
Team Rocket wall hanging,teamrocketwallhanging,Other
Technology poster,technologyposter,Other
Television,television,Misc.
Tent hipped roof,tenthippedroof,Buildings
Tent roof valley,tentroofvalley,Buildings
Tiled hipped roof,tiledhippedroof,Buildings
Tiled roof decoration,tiledroofdecoration,Buildings
Tiled roof valley,tiledroofvalley,Buildings
Tire toy,tiretoy,Outdoor
Tires,tires,Outdoor
Toilet,toilet,Misc.
Torch,torch,Outdoor
Towel rack,towelrack,Misc.
Town map,townmap,Other
Town streetlight,townstreetlight,Utilities
Townscape poster,townscapeposter,Other
Toy blocks,toyblocks,Misc.
Traffic cone,trafficcone,Outdoor
Treasure,treasure,Outdoor
Triangle-design flooring,triangledesignflooring,Blocks
Twisted potted plant,twistedpottedplant,Misc.
Ultra Ruin,ultraruin,Other
Underground hatch,undergroundhatch,Buildings
Union Cave,unioncave,Other
Upright log,uprightlog,Buildings
Utility pole,utilitypole,Utilities
Vending machine,vendingmachine,Outdoor
Verdant shoots,verdantshoots,Nature
Vermilion City,vermilioncity,Other
Vine print,vineprint,Blocks
Vine wall decoration,vinewalldecoration,Misc.
Vines,vines,Other
Violet meteor lamp,violetmeteorlamp,Utilities
Viridian City,viridiancity,Other
Volcanic ash,volcanicash,Blocks
Volcanic rock,volcanicrock,Blocks
Walkway,walkway,Buildings
Wall calendar,wallcalendar,Misc.
Wall light,walllight,Utilities
Wall mirror,wallmirror,Furniture
Wall monitor,wallmonitor,Misc.
Wall photo frame,wallphotoframe,Misc.
Wall storage box,wallstoragebox,Furniture
Wall switch,wallswitch,Utilities
Wall torch,walltorch,Outdoor
Warning wall,warningwall,Blocks
Washing machine,washingmachine,Misc.
Water basin,waterbasin,Outdoor
Water pillar quarter,waterpillarquarter,Buildings
Watercolor poster,watercolorposter,Other
Waterproof seat,waterproofseat,Furniture
Waterwheel kit,waterwheelkit,Kits
Weather vane,weathervane,Outdoor
Wheelbarrow,wheelbarrow,Outdoor
White rock,whiterock,Blocks
Wiggly mirror,wigglymirror,Furniture
Wild Area,wildarea,Other
Wildflower,wildflower,Nature
Windmill kit,windmillkit,Kits
Windmill poster,windmillposter,Other
Window pane,windowpane,Buildings
Winter print,winterprint,Blocks
Wire,wire,Buildings
Wireless power transmitter,wirelesspowertransmitter,Utilities
Wireless power-transmitter switch,wirelesspowertransmitterswitch,Utilities
Wobbuffet wobbler,wobbuffetwobbler,Misc.
Wooden bed,woodenbed,Furniture
Wooden bench,woodenbench,Furniture
Wooden birdhouse,woodenbirdhouse,Outdoor
Wooden crate,woodencrate,Outdoor
Wooden enclosure,woodenenclosure,Buildings
Wooden fencing,woodenfencing,Buildings
Wooden flooring,woodenflooring,Blocks
Wooden gate,woodengate,Buildings
Wooden handrail,woodenhandrail,Buildings
Wooden ladder,woodenladder,Buildings
Wooden partition,woodenpartition,Buildings
Wooden path,woodenpath,Buildings
Wooden plate,woodenplate,Misc.
Wooden posts,woodenposts,Buildings
Wooden steps,woodensteps,Buildings
Wooden table,woodentable,Furniture
Wooden wall,woodenwall,Blocks
Workbench,workbench,Utilities
Worn lumber,wornlumber,Other
Worn wooden crate,wornwoodencrate,Outdoor
Woven carpeting,wovencarpeting,Blocks
Wyndon,wyndon,Other
Yellow cottage kit,yellowcottagekit,Kits
Yellow hut kit,yellowhutkit,Kits
Yellow meteor lamp,yellowmeteorlamp,Utilities
Yellow rock,yellowrock,Blocks
Yellow tall grass,yellowtallgrass,Nature
Yellow-green shoots,yellowgreenshoots,Nature
bean plant,beanplant,Other
potato plant,potatoplant,Other
tomato plant,tomatoplant,Other
wheat plant,wheatplant,Other
