item,level,kind,words,components,component_levels,letters,longest_word,spellable
Black spotted cliff rock,8,compound,4,black + spotted + cliff + rock,3 + 8 + 3 + 1,21,7,yes
Boat railing,8,compound,2,boat + railing,6 + 8,11,7,yes
Bonfire,8,single,1,,,7,7,yes
Bookcase,8,single,1,,,8,8,yes
Bouncy blue bathtub,8,compound,3,bouncy + blue + bathtub,6 + 6 + 8,17,7,yes
Brick flooring,8,compound,2,brick + flooring,3 + 8,13,8,yes
Campfire,8,single,1,,,8,8,yes
Camping cooking pot,8,compound,3,camping + cooking + pot,8 + 8 + 1,17,7,yes
Castform weather charm,8,compound,3,castform + weather + charm,8 + 4 + 4,20,8,yes
Charging station kit,8,compound,3,charging + station + kit,4 + 8 + 1,18,8,yes
Chic streetlight,8,compound,2,chic + streetlight,4 + 8,15,11,yes
Cleaning supplies,8,compound,2,cleaning + supplies,8 + 6,16,8,yes
Community box,8,compound,2,community + box,8 + 1,12,9,yes
Construction supplies,8,compound,2,construction + supplies,8 + 6,20,12,yes
Cooking pot,8,compound,2,cooking + pot,8 + 1,10,7,yes
Cooking stove,8,compound,2,cooking + stove,8 + 5,12,7,yes
Corkboard,8,single,1,,,9,9,yes
Cracked sandstone,8,compound,2,cracked + sandstone,3 + 8,16,9,yes
Crisscross wooden flooring,8,compound,3,crisscross + wooden + flooring,3 + 6 + 8,24,10,yes
Cyber flooring,8,compound,2,cyber + flooring,7 + 8,13,8,yes
Damaged asphalt road,8,compound,3,damaged + asphalt + road,8 + 4 + 6,18,7,yes
Damaged wooden flooring,8,compound,3,damaged + wooden + flooring,8 + 6 + 8,21,8,yes
Dark marble flooring,8,compound,3,dark + marble + flooring,7 + 7 + 8,18,8,yes
Destiny Knot,8,compound,2,destiny + knot,8 + 1,11,7,yes
Double streetlight,8,compound,2,double + streetlight,6 + 8,17,11,yes
Dowsing Machine,8,compound,2,dowsing + machine,8 + 4,14,7,yes
Driftwood,8,single,1,,,9,9,yes
Dry seashore grass,8,compound,3,dry + seashore + grass,3 + 8 + 3,16,8,yes
Duckweed,8,single,1,,,8,8,yes
Exhibition stand,8,compound,2,exhibition + stand,8 + 3,15,10,yes
Fairy Feather,8,compound,2,fairy + feather,7 + 8,12,7,yes
Firepit,8,single,1,,,7,7,yes
Fishing rod,8,compound,2,fishing + rod,8 + 1,10,7,yes
Flower backpack,8,compound,2,flower + backpack,7 + 8,14,8,yes
Flowering duckweed,8,compound,2,flowering + duckweed,8 + 8,17,9,yes
Fluffy flooring,8,compound,2,fluffy + flooring,3 + 8,14,8,yes
Folding chair,8,compound,2,folding + chair,8 + 4,12,7,yes
Glowing mushrooms,8,compound,2,glowing + mushrooms,8 + 4,16,9,yes
Glowing stone,8,compound,2,glowing + stone,8 + 5,12,7,yes
Grass flooring,8,compound,2,grass + flooring,3 + 8,13,8,yes
Grate flooring,8,compound,2,grate + flooring,5 + 8,13,8,yes
Gravestone,8,single,1,,,10,10,yes
Gray circle flooring,8,compound,3,gray + circle + flooring,6 + 7 + 8,18,8,yes
Grubby newspaper,8,compound,2,grubby + newspaper,3 + 8,15,9,yes
Grubby notepad,8,compound,2,grubby + notepad,3 + 8,13,7,yes
Handcar,8,single,1,,,7,7,yes
Handrail,8,single,1,,,8,8,yes
Hanging banner,8,compound,2,hanging + banner,8 + 7,13,7,yes
Hanging scroll,8,compound,2,hanging + scroll,8 + 3,13,7,yes
Harbor streetlight,8,compound,2,harbor + streetlight,7 + 8,17,11,yes
Hardwood flooring,8,compound,2,hardwood + flooring,8 + 8,16,8,yes
Iron-plate flooring,8,compound,3,iron + plate + flooring,7 + 5 + 8,17,8,yes
Leftovers,8,single,1,,,9,9,yes
Light marble flooring,8,compound,3,light + marble + flooring,6 + 7 + 8,19,8,yes
Limestone,8,single,1,,,9,9,yes
Mailbox,8,single,1,,,7,7,yes
Microscope,8,single,1,,,10,10,yes
Modern carpeting,8,compound,2,modern + carpeting,7 + 8,15,9,yes
Moonlight poster,8,compound,2,moonlight + poster,8 + 7,15,9,yes
Mushroom streetlight,8,compound,2,mushroom + streetlight,4 + 8,19,11,yes
Newspaper,8,single,1,,,9,9,yes
Notepad,8,single,1,,,7,7,yes
Offering dish,8,compound,2,offering + dish,8 + 4,12,8,yes
Office chair,8,compound,2,office + chair,8 + 4,11,6,yes
Office desk,8,compound,2,office + desk,8 + 1,10,6,yes
Office locker,8,compound,2,office + locker,8 + 7,12,6,yes
Office shelf,8,compound,2,office + shelf,8 + 4,11,6,yes
Oil painting poster,8,compound,3,oil + painting + poster,6 + 8 + 7,17,8,yes
Painted wall,8,compound,2,painted + wall,8 + 2,11,7,yes
Party cooking pot,8,compound,3,party + cooking + pot,7 + 8 + 1,15,7,yes
Party popper,8,compound,2,party + popper,7 + 8,11,6,yes
Passionate poster,8,compound,2,passionate + poster,8 + 7,16,10,yes
Photo cutout board,8,compound,3,photo + cutout + board,4 + 8 + 7,16,6,yes
Pinwheels,8,single,1,,,9,9,yes
Punching bag,8,compound,2,punching + bag,8 + 1,11,8,yes
Punching game,8,compound,2,punching + game,8 + 5,12,8,yes
Railway track,8,compound,2,railway + track,8 + 3,12,7,yes
Rainbow Feather,8,compound,2,rainbow + feather,8 + 8,14,7,yes
Red spotted cliff rock,8,compound,4,red + spotted + cliff + rock,1 + 8 + 3 + 1,19,7,yes
Reddish-brown cave rock,8,compound,4,reddish + brown + cave + rock,8 + 6 + 5 + 1,20,7,yes
Relaxing park kit,8,compound,3,relaxing + park + kit,8 + 7 + 1,15,8,yes
Room Service,8,compound,2,room + service,6 + 8,11,7,yes
Sandbags,8,single,1,,,8,8,yes
Sandbox,8,single,1,,,7,7,yes
Sandstone,8,single,1,,,9,9,yes
Seashell,8,single,1,,,8,8,yes
Seashell soil,8,compound,2,seashell + soil,8 + 6,12,8,yes
Seashore flowers,8,compound,2,seashore + flowers,8 + 7,15,8,yes
Seashore grass,8,compound,2,seashore + grass,8 + 3,13,8,yes
Seaweed,8,single,1,,,7,7,yes
Seaweed soup,8,compound,2,seaweed + soup,8 + 6,11,7,yes
Shop flooring,8,compound,2,shop + flooring,4 + 8,12,8,yes
Sideways log,8,compound,2,sideways + log,8 + 1,11,8,yes
Signpost,8,single,1,,,8,8,yes
Silver Feather,8,compound,2,silver + feather,7 + 8,13,7,yes
Skyland cliff rock,8,compound,3,skyland + cliff + rock,8 + 3 + 1,16,7,yes
Skyland flowers,8,compound,2,skyland + flowers,8 + 7,14,7,yes
Skyland sand,8,compound,2,skyland + sand,8 + 1,11,7,yes
Skyland sandstone,8,compound,2,skyland + sandstone,8 + 8,16,9,yes
Skyland spotted cliff rock,8,compound,4,skyland + spotted + cliff + rock,8 + 8 + 3 + 1,23,7,yes
Skylight,8,single,1,,,8,8,yes
Small office kit,8,compound,3,small + office + kit,3 + 8 + 1,14,6,yes
Soft carpeting,8,compound,2,soft + carpeting,1 + 8,13,9,yes
Spaceship,8,single,1,,,9,9,yes
Spacesuit,8,single,1,,,9,9,yes
Spotlight,8,single,1,,,9,9,yes
Spotted cliff rock,8,compound,3,spotted + cliff + rock,8 + 3 + 1,16,7,yes
Standing mic,8,compound,2,standing + mic,8 + 1,11,8,yes
Stardust,8,single,1,,,8,8,yes
Stepping stones,8,compound,2,stepping + stones,8 + 5,14,8,yes
Stone fireplace,8,compound,2,stone + fireplace,5 + 8,14,9,yes
Stone flooring,8,compound,2,stone + flooring,5 + 8,13,8,yes
Stylish cooking pot,8,compound,3,stylish + cooking + pot,4 + 8 + 1,17,7,yes
Stylish stone flooring,8,compound,3,stylish + stone + flooring,4 + 5 + 8,20,8,yes
Super Training,8,compound,2,super + training,7 + 8,13,8,yes
Surface light,8,compound,2,surface + light,8 + 6,12,7,yes
Tabletop mic,8,compound,2,tabletop + mic,8 + 1,11,8,yes
Town streetlight,8,compound,2,town + streetlight,6 + 8,15,11,yes
Townscape poster,8,compound,2,townscape + poster,8 + 7,15,9,yes
Underground hatch,8,compound,2,underground + hatch,8 + 4,16,11,yes
Walkway,8,single,1,,,7,7,yes
Washing machine,8,compound,2,washing + machine,8 + 4,14,7,yes
Wastepaper,8,single,1,,,10,10,yes
Watercolor poster,8,compound,2,watercolor + poster,8 + 7,16,10,yes
Waterproof seat,8,compound,2,waterproof + seat,8 + 6,14,10,yes
Waterwheel kit,8,compound,2,waterwheel + kit,8 + 1,13,10,yes
Wildflower,8,single,1,,,10,10,yes
Windmill kit,8,compound,2,windmill + kit,8 + 1,11,8,yes
Windmill poster,8,compound,2,windmill + poster,8 + 7,14,8,yes
Wooden birdhouse,8,compound,2,wooden + birdhouse,6 + 8,15,9,yes
Wooden flooring,8,compound,2,wooden + flooring,6 + 8,14,8,yes
Wooden handrail,8,compound,2,wooden + handrail,6 + 8,14,8,yes
Workbench,8,single,1,,,9,9,yes
Abandoned Power Plant kit,9,compound,4,abandoned + power + plant + kit,9 + 7 + 3 + 1,22,9,yes
Ability Shield,9,compound,2,ability + shield,9 + 4,13,7,yes
Acrylic poster,9,compound,2,acrylic + poster,9 + 7,13,7,yes
Adorable hedge,9,compound,2,adorable + hedge,9 + 9,13,8,yes
Adrenaline Orb,9,compound,2,adrenaline + orb,9 + 7,13,10,yes
Aether Paradise,9,compound,2,aether + paradise,4 + 9,14,8,yes
Aged-stone wall,9,compound,3,aged + stone + wall,9 + 5 + 2,13,5,yes
Air conditioner,9,compound,2,air + conditioner,7 + 9,14,11,yes
Alpine grass,9,compound,2,alpine + grass,9 + 3,11,6,yes
Altar of Flame kit,9,compound,4,altar + of + flame + kit,7 + 9 + 5 + 1,15,5,yes
Antique sofa,9,compound,2,antique + sofa,8 + 9,11,7,yes
Antique table,9,compound,2,antique + table,8 + 9,12,7,yes
Arcanine doll,9,compound,2,arcanine + doll,9 + 2,12,8,yes
Arched tiling,9,compound,2,arched + tiling,4 + 9,12,6,yes
Argyle print,9,compound,2,argyle + print,9 + 3,11,6,yes
Armor Fossil,9,compound,2,armor + fossil,7 + 9,11,6,yes
Auspicious Armor,9,compound,2,auspicious + armor,9 + 7,15,10,yes
Automatic doors,9,compound,2,automatic + doors,9 + 7,14,9,yes
Avalugg table,9,compound,2,avalugg + table,9 + 9,12,7,yes
Barren ordinary soil,9,compound,3,barren + ordinary + soil,7 + 9 + 6,18,8,yes
Beautiful flower,9,compound,2,beautiful + flower,9 + 7,15,9,yes
Berry basket,9,compound,2,berry + basket,7 + 9,11,6,yes
Berry table,9,compound,2,berry + table,7 + 9,10,5,yes
Berry table lamp,9,compound,3,berry + table + lamp,7 + 9 + 1,14,5,yes
Berry wall decoration,9,compound,3,berry + wall + decoration,7 + 2 + 9,19,10,yes
Big Nugget,9,compound,2,big + nugget,1 + 9,9,6,yes
Bitter hamburger steak,9,compound,3,bitter + hamburger + steak,7 + 9 + 6,20,9,yes
Blank canvas,9,compound,2,blank + canvas,3 + 9,11,6,yes
Boo-in-the-box,9,compound,4,boo + in + the + box,6 + 9 + 4 + 1,11,3,yes
Book pile,9,compound,2,book + pile,6 + 9,8,4,yes
Bouldery Badge,9,compound,2,bouldery + badge,9 + 9,13,8,yes
Boutique,9,single,1,,,8,8,yes
Box sofa,9,compound,2,box + sofa,1 + 9,7,4,yes
Bread oven,9,compound,2,bread + oven,6 + 9,9,5,yes
Brick hipped roof,9,compound,3,brick + hipped + roof,3 + 9 + 6,15,6,yes
Brick roof decoration,9,compound,3,brick + roof + decoration,3 + 6 + 9,19,10,yes
Bubble print,9,compound,2,bubble + print,9 + 3,11,6,yes
Bumpy beach sand,9,compound,3,bumpy + beach + sand,9 + 4 + 1,14,5,yes
CD,9,single,1,,,2,2,yes
CD player,9,compound,2,cd + player,9 + 7,8,6,yes
CD rack,9,compound,2,cd + rack,9 + 1,6,4,yes
Cannon,9,single,1,,,6,6,yes
Cardboard boxes,9,compound,2,cardboard + boxes,8 + 9,14,9,yes
Cascade-like Badge,9,compound,3,cascade + like + badge,9 + 5 + 9,16,7,yes
Cash register,9,compound,2,cash + register,4 + 9,12,8,yes
Ceiling fan,9,compound,2,ceiling + fan,9 + 1,10,7,yes
Cerulean City,9,compound,2,cerulean + city,9 + 9,12,8,yes
Chic sofa,9,compound,2,chic + sofa,4 + 9,8,4,yes
Chic table,9,compound,2,chic + table,4 + 9,9,5,yes
City cottage kit,9,compound,3,city + cottage + kit,9 + 9 + 1,14,7,yes
City den kit,9,compound,3,city + den + kit,9 + 1 + 1,10,4,yes
City house kit,9,compound,3,city + house + kit,9 + 5 + 1,12,5,yes
City hut kit,9,compound,3,city + hut + kit,9 + 1 + 1,10,4,yes
Clear Amulet,9,compound,2,clear + amulet,7 + 9,11,6,yes
Clefairy doll,9,compound,2,clefairy + doll,9 + 2,12,8,yes
Cloud cannon,9,compound,2,cloud + cannon,6 + 9,11,6,yes
Cobblestone wall,9,compound,2,cobblestone + wall,9 + 2,15,11,yes
Common candy,9,compound,2,common + candy,8 + 9,11,6,yes
Computer,9,single,1,,,8,8,yes
Concrete,9,single,1,,,8,8,yes
Concrete mixer,9,compound,2,concrete + mixer,9 + 7,13,8,yes
Concrete pipe,9,compound,2,concrete + pipe,9 + 5,12,8,yes
Concrete slab,9,compound,2,concrete + slab,9 + 3,12,8,yes
Concrete steps,9,compound,2,concrete + steps,9 + 3,13,8,yes
Concrete wall,9,compound,2,concrete + wall,9 + 2,12,8,yes
Contest Spectacular,9,compound,2,contest + spectacular,8 + 9,18,11,yes
Control unit,9,compound,2,control + unit,9 + 9,11,7,yes
Cool electric guitar,9,compound,3,cool + electric + guitar,6 + 9 + 7,18,8,yes
Cooled molten rock,9,compound,3,cooled + molten + rock,6 + 9 + 1,16,6,yes
Copper ingot,9,compound,2,copper + ingot,7 + 9,11,6,yes
Corrugated metal,9,compound,2,corrugated + metal,9 + 9,15,10,yes
Cotton Spores,9,compound,2,cotton + spores,9 + 3,12,6,yes
Crouton salad,9,compound,2,crouton + salad,6 + 9,12,7,yes
Crushed-berry salad,9,compound,3,crushed + berry + salad,4 + 7 + 9,17,7,yes
Curry and rice,9,compound,3,curry + and + rice,7 + 9 + 5,12,5,yes
Cute sofa,9,compound,2,cute + sofa,5 + 9,8,4,yes
Cute table,9,compound,2,cute + table,5 + 9,9,5,yes
Cutting board,9,compound,2,cutting + board,9 + 7,12,7,yes
Cyan paint,9,compound,2,cyan + paint,9 + 6,9,5,yes
Damaged arched tiling,9,compound,3,damaged + arched + tiling,8 + 4 + 9,19,7,yes
Damaged mosaic tiling,9,compound,3,damaged + mosaic + tiling,8 + 6 + 9,19,7,yes
Damaged square tiling,9,compound,3,damaged + square + tiling,8 + 5 + 9,19,7,yes
Damp hedge,9,compound,2,damp + hedge,1 + 9,9,5,yes
Dance poster,9,compound,2,dance + poster,9 + 7,11,6,yes
Dandy flowers,9,compound,2,dandy + flowers,9 + 7,12,7,yes
Decorative bookshelf,9,compound,2,decorative + bookshelf,9 + 8,19,10,yes
Demolition kit,9,compound,2,demolition + kit,9 + 1,13,10,yes
Dense vines,9,compound,2,dense + vines,9 + 5,10,5,yes
Diagonal wooden flooring,9,compound,3,diagonal + wooden + flooring,9 + 6 + 8,22,8,yes
Dining cabinet,9,compound,2,dining + cabinet,9 + 9,13,7,yes
Diploma,9,single,1,,,7,7,yes
Ditto doll,9,compound,2,ditto + doll,9 + 2,9,5,yes
Ditto flag,9,compound,2,ditto + flag,9 + 3,9,5,yes
Ditto rug,9,compound,2,ditto + rug,9 + 1,8,5,yes
Dormered brick roof,9,compound,3,dormered + brick + roof,9 + 3 + 6,17,8,yes
Dragonite doll,9,compound,2,dragonite + doll,9 + 2,13,9,yes
Driftveil City,9,compound,2,driftveil + city,3 + 9,13,9,yes
Dry alpine grass,9,compound,3,dry + alpine + grass,3 + 9 + 3,14,6,yes
Earth Badge,9,compound,2,earth + badge,4 + 9,10,5,yes
Ecruteak City,9,compound,2,ecruteak + city,9 + 9,12,8,yes
Eerie candle,9,compound,2,eerie + candle,7 + 9,11,6,yes
Electrifying soup,9,compound,2,electrifying + soup,9 + 6,16,12,yes
Elegant flower,9,compound,2,elegant + flower,9 + 7,13,7,yes
Elevator platform,9,compound,2,elevator + platform,9 + 7,16,8,yes
Excavation tools,9,compound,2,excavation + tools,9 + 6,15,10,yes
Extravagant carpeting,9,compound,2,extravagant + carpeting,9 + 8,20,11,yes
Extravagant flowers,9,compound,2,extravagant + flowers,9 + 7,18,11,yes
Fancy chair,9,compound,2,fancy + chair,9 + 4,10,5,yes
Fancy pen,9,compound,2,fancy + pen,9 + 1,8,5,yes
Fiery Magby statue,9,compound,3,fiery + magby + statue,7 + 9 + 6,16,6,yes
Fire hydrant,9,compound,2,fire + hydrant,5 + 9,11,7,yes
Flat tiled roof,9,compound,3,flat + tiled + roof,3 + 9 + 6,13,5,yes
Flavorful soup,9,compound,2,flavorful + soup,9 + 6,13,9,yes
Flower table,9,compound,2,flower + table,7 + 9,11,6,yes
Flowery table setting,9,compound,3,flowery + table + setting,9 + 9 + 9,19,7,yes
Fluorescent light,9,compound,2,fluorescent + light,9 + 6,16,11,yes
Fortree City,9,compound,2,fortree + city,8 + 9,11,7,yes
Foundation,9,single,1,,,10,10,yes
Fried potatoes,9,compound,2,fried + potatoes,6 + 9,13,8,yes
Fuchsia City,9,compound,2,fuchsia + city,4 + 9,11,7,yes
Funky diffuser,9,compound,2,funky + diffuser,9 + 8,13,8,yes
Game Boy system,9,compound,3,game + boy + system,5 + 6 + 9,13,6,yes
Gaming PC,9,compound,2,gaming + pc,9 + 9,8,6,yes
Gaming bed,9,compound,2,gaming + bed,9 + 1,9,6,yes
Gaming chair,9,compound,2,gaming + chair,9 + 4,11,6,yes
Gaming fridge,9,compound,2,gaming + fridge,9 + 3,12,6,yes
Gaming light,9,compound,2,gaming + light,9 + 6,11,6,yes
Garden ornament,9,compound,2,garden + ornament,7 + 9,14,8,yes
Garden table,9,compound,2,garden + table,7 + 9,11,6,yes
Gingham print,9,compound,2,gingham + print,9 + 3,12,7,yes
Gold Bottle Cap,9,compound,3,gold + bottle + cap,1 + 9 + 1,13,6,yes
Gold deposit,9,compound,2,gold + deposit,1 + 9,11,7,yes
Gold ingot,9,compound,2,gold + ingot,1 + 9,9,5,yes
Golden poster,9,compound,2,golden + poster,9 + 7,12,6,yes
Grate fencing,9,compound,2,grate + fencing,5 + 9,12,7,yes
Gray cottage kit,9,compound,3,gray + cottage + kit,6 + 9 + 1,14,7,yes
Grubby tablet,9,compound,2,grubby + tablet,3 + 9,12,6,yes
Gym emblem statue,9,compound,3,gym + emblem + statue,9 + 9 + 6,15,6,yes
Harbor pole,9,compound,2,harbor + pole,7 + 9,10,6,yes
Hay pile,9,compound,2,hay + pile,6 + 9,7,4,yes
Healthy hedge,9,compound,2,healthy + hedge,4 + 9,12,7,yes
Hexagonal flooring,9,compound,2,hexagonal + flooring,9 + 8,17,9,yes
Hoppip water bottle,9,compound,3,hoppip + water + bottle,9 + 7 + 9,17,6,yes
Humidifier,9,single,1,,,10,10,yes
Icicles,9,single,1,,,7,7,yes
Icy Rock,9,compound,2,icy + rock,9 + 1,7,4,yes
Indigo meteor lamp,9,compound,3,indigo + meteor + lamp,9 + 7 + 1,16,6,yes
Industrial bed,9,compound,2,industrial + bed,9 + 1,13,10,yes
Industrial bench,9,compound,2,industrial + bench,9 + 4,15,10,yes
Industrial chair,9,compound,2,industrial + chair,9 + 4,15,10,yes
Industrial desk,9,compound,2,industrial + desk,9 + 1,14,10,yes
Inflatable Sudowoodo,9,compound,2,inflatable + sudowoodo,9 + 9,19,10,yes
Inflatable boat,9,compound,2,inflatable + boat,9 + 6,14,10,yes
Information board,9,compound,2,information + board,9 + 7,16,11,yes
Iron column,9,compound,2,iron + column,7 + 9,10,6,yes
Iron deposit,9,compound,2,iron + deposit,7 + 9,11,7,yes
Iron enclosure,9,compound,2,iron + enclosure,7 + 9,13,9,yes
Iron ingot,9,compound,2,iron + ingot,7 + 9,9,5,yes
Iron table,9,compound,2,iron + table,7 + 9,9,5,yes
Iron tiling,9,compound,2,iron + tiling,7 + 9,10,6,yes
Jaw Fossil,9,compound,2,jaw + fossil,6 + 9,9,6,yes
Jubilife Village,9,compound,2,jubilife + village,9 + 9,15,8,yes
Jumbled cords,9,compound,2,jumbled + cords,9 + 7,12,7,yes
Kitchen table,9,compound,2,kitchen + table,8 + 9,12,7,yes
Knitting supplies,9,compound,2,knitting + supplies,9 + 6,16,8,yes
Lagging Tail,9,compound,2,lagging + tail,9 + 6,11,7,yes
Laptop,9,single,1,,,6,6,yes
Large lost relic,9,compound,3,large + lost + relic,7 + 1 + 9,14,5,yes
Large ventilation fan,9,compound,3,large + ventilation + fan,7 + 9 + 1,19,11,yes
Lava rock,9,compound,2,lava + rock,9 + 1,8,4,yes
Leaf cottage kit,9,compound,3,leaf + cottage + kit,6 + 9 + 1,14,7,yes
Leppa Berry,9,compound,2,leppa + berry,9 + 7,10,5,yes
Leppa bread,9,compound,2,leppa + bread,9 + 6,10,5,yes
Leppa salad,9,compound,2,leppa + salad,9 + 9,10,5,yes
Leppa tree,9,compound,2,leppa + tree,9 + 6,9,5,yes
Leppa tree stump,9,compound,3,leppa + tree + stump,9 + 6 + 3,14,5,yes
Log cabin kit,9,compound,3,log + cabin + kit,1 + 9 + 1,11,5,yes
Log table,9,compound,2,log + table,1 + 9,8,5,yes
Lucky Egg,9,compound,2,lucky + egg,9 + 9,8,5,yes
Luxury bed,9,compound,2,luxury + bed,9 + 1,9,6,yes
Luxury chair,9,compound,2,luxury + chair,9 + 4,11,6,yes
Luxury dresser,9,compound,2,luxury + dresser,9 + 7,13,7,yes
Luxury lamp,9,compound,2,luxury + lamp,9 + 1,10,6,yes
Luxury sofa,9,compound,2,luxury + sofa,9 + 9,10,6,yes
Luxury table,9,compound,2,luxury + table,9 + 9,11,6,yes
Magazine rack,9,compound,2,magazine + rack,9 + 1,12,8,yes
Magikarp decoration,9,compound,2,magikarp + decoration,9 + 9,18,10,yes
Malicious Armor,9,compound,2,malicious + armor,9 + 7,14,9,yes
Marshy Badge,9,compound,2,marshy + badge,4 + 9,11,6,yes
Menu board,9,compound,2,menu + board,9 + 7,9,5,yes
Metal Coat,9,compound,2,metal + coat,9 + 6,9,5,yes
Metal Powder,9,compound,2,metal + powder,9 + 7,11,6,yes
Metal chain,9,compound,2,metal + chain,9 + 4,10,5,yes
Metal drum,9,compound,2,metal + drum,9 + 3,9,5,yes
Metal fencing,9,compound,2,metal + fencing,9 + 9,12,7,yes
Metallic smelting furnace,9,compound,3,metallic + smelting + furnace,9 + 3 + 7,23,8,yes
Microwave oven,9,compound,2,microwave + oven,8 + 9,13,9,yes
Mini bookcase,9,compound,2,mini + bookcase,9 + 8,12,8,yes
Mini floodgate,9,compound,2,mini + floodgate,9 + 8,13,9,yes
Mini generator,9,compound,2,mini + generator,9 + 9,13,9,yes
Mini plain bed,9,compound,3,mini + plain + bed,9 + 6 + 1,12,5,yes
Miracle Seed,9,compound,2,miracle + seed,9 + 6,11,7,yes
Model planet,9,compound,2,model + planet,9 + 3,11,6,yes
Model space shuttle,9,compound,3,model + space + shuttle,9 + 5 + 4,17,7,yes
Molten rock,9,compound,2,molten + rock,9 + 1,10,6,yes
Moonlight dance statue kit,9,compound,4,moonlight + dance + statue + kit,8 + 9 + 6 + 1,23,9,yes
Mosaic tiling,9,compound,2,mosaic + tiling,6 + 9,12,6,yes
Mossy Stone,9,compound,2,mossy + stone,9 + 5,10,5,yes
Mossy boulder,9,compound,2,mossy + boulder,9 + 7,12,7,yes
Mossy soil,9,compound,2,mossy + soil,9 + 6,9,5,yes
Mushroom hamburger steak,9,compound,3,mushroom + hamburger + steak,4 + 9 + 6,22,9,yes
Mysterious Goggles,9,compound,2,mysterious + goggles,9 + 9,17,10,yes
Mysterious pedestal,9,compound,2,mysterious + pedestal,9 + 9,18,10,yes
Mysterious slate,9,compound,2,mysterious + slate,9 + 5,15,10,yes
Mysterious statue,9,compound,2,mysterious + statue,9 + 6,16,10,yes
Mysterious stone,9,compound,2,mysterious + stone,9 + 5,15,10,yes
Mystic Water,9,compound,2,mystic + water,9 + 7,11,6,yes
Naptime bed,9,compound,2,naptime + bed,9 + 1,10,7,yes
Neo-Dowsing Machine,9,compound,3,neo + dowsing + machine,9 + 8 + 4,17,7,yes
Neon flooring,9,compound,2,neon + flooring,9 + 8,12,8,yes
Ninja poster,9,compound,2,ninja + poster,9 + 7,11,6,yes
Nonburnable garbage,9,compound,2,nonburnable + garbage,9 + 7,18,11,yes
Nugget,9,single,1,,,6,6,yes
Oblong rug,9,compound,2,oblong + rug,9 + 1,9,6,yes
Office cabinet,9,compound,2,office + cabinet,8 + 9,13,7,yes
Office table,9,compound,2,office + table,8 + 9,11,6,yes
Open book,9,compound,2,open + book,9 + 6,8,4,yes
Orange cottage kit,9,compound,3,orange + cottage + kit,7 + 9 + 1,16,7,yes
Ordinary sand,9,compound,2,ordinary + sand,9 + 1,12,8,yes
Ordinary soil,9,compound,2,ordinary + soil,9 + 6,12,8,yes
Pallet Town,9,compound,2,pallet + town,9 + 6,10,6,yes
Party bunting,9,compound,2,party + bunting,7 + 9,12,7,yes
Patterned aged-stone wall,9,compound,4,patterned + aged + stone + wall,9 + 9 + 5 + 2,22,9,yes
Pencil holder,9,compound,2,pencil + holder,9 + 7,12,6,yes
Pewter City,9,compound,2,pewter + city,7 + 9,10,6,yes
Picnic basket,9,compound,2,picnic + basket,9 + 9,12,6,yes
Picnic blanket,9,compound,2,picnic + blanket,9 + 3,13,7,yes
Pikachu sofa,9,compound,2,pikachu + sofa,4 + 9,11,7,yes
Pink cottage kit,9,compound,3,pink + cottage + kit,1 + 9 + 1,14,7,yes
Pizza,9,single,1,,,5,5,yes
Plain sofa,9,compound,2,plain + sofa,6 + 9,9,5,yes
Plain table,9,compound,2,plain + table,6 + 9,10,5,yes
Polygonal shelf,9,compound,2,polygonal + shelf,9 + 4,14,9,yes
Pop art sofa,9,compound,3,pop + art + sofa,1 + 7 + 9,10,4,yes
Pop art table,9,compound,3,pop + art + table,1 + 7 + 9,11,5,yes
Potato,9,single,1,,,6,6,yes
Potato hamburger steak,9,compound,3,potato + hamburger + steak,9 + 9 + 6,20,9,yes
Potato plant,9,compound,2,potato + plant,9 + 3,11,6,yes
Protruding wall,9,compound,2,protruding + wall,9 + 2,14,10,yes
Public seat,9,compound,2,public + seat,9 + 6,10,6,yes
Rainbowish Badge,9,compound,2,rainbowish + badge,4 + 9,15,10,yes
Rare Candy,9,compound,2,rare + candy,5 + 9,9,5,yes
Recycled bread,9,compound,2,recycled + bread,9 + 6,13,8,yes
Recycling bin,9,compound,2,recycling + bin,9 + 1,12,9,yes
Refrigerator,9,single,1,,,12,12,yes
Repel,9,single,1,,,5,5,yes
Resort hammock,9,compound,2,resort + hammock,7 + 9,13,7,yes
Resort sofa,9,compound,2,resort + sofa,7 + 9,10,6,yes
Resort table,9,compound,2,resort + table,7 + 9,11,6,yes
Ribbon cake,9,compound,2,ribbon + cake,9 + 5,10,6,yes
Robust flower,9,compound,2,robust + flower,9 + 7,12,6,yes
Rocket Hideout,9,compound,2,rocket + hideout,9 + 8,13,7,yes
Roserade Tea,9,compound,2,roserade + tea,9 + 6,11,8,yes
Rusted iron-plate flooring,9,compound,4,rusted + iron + plate + flooring,9 + 7 + 5 + 8,23,8,yes
Rustic door,9,compound,2,rustic + door,9 + 7,10,6,yes
Sail Fossil,9,compound,2,sail + fossil,6 + 9,10,6,yes
Sand cottage kit,9,compound,3,sand + cottage + kit,1 + 9 + 1,14,7,yes
Science experiment,9,compound,2,science + experiment,6 + 9,17,10,yes
Seaweed salad,9,compound,2,seaweed + salad,8 + 9,12,7,yes
Security camera,9,compound,2,security + camera,9 + 9,14,8,yes
